net,length_um
_0974_,10.1µm
_0328_,10.08µm
net362,10.06µm
_0175_,10.04µm
_0777_,10.04µm
_0803_,10.04µm
_0863_,10.04µm
_0679_,9.995µm
_0085_,9.98µm
_0256_,9.98µm
_0425_,9.98µm
_0653_,9.98µm
_0878_,9.94µm
_0944_,9.94µm
_0726_,9.9µm
net346,9.9µm
debug_dco_word[10],9.88µm
_0658_,9.84µm
_0209_,9.82µm
_0378_,9.82µm
_0420_,9.82µm
_0946_,9.82µm
_0718_,9.8µm
dco_inst.accumulator\[13\],9.8µm
_0265_,9.66µm
_0451_,9.66µm
_0633_,9.66µm
net8,9.66µm
net361,9.66µm
initial_freq[13],9.64µm
initial_freq[3],9.64µm
initial_freq[7],9.64µm
initial_freq[9],9.64µm
_0206_,9.58µm
_0116_,9.565µm
_0267_,9.54µm
_0724_,9.54µm
initial_freq[19],9.53µm
initial_freq[24],9.53µm
_0619_,9.52µm
net370,9.52µm
_0079_,9.515µm
_0504_,9.5µm
_0753_,9.5µm
_0288_,9.4µm
_0805_,9.38µm
_0188_,9.36µm
_0450_,9.36µm
_0626_,9.36µm
net318,9.36µm
_0519_,9.34µm
_0473_,9.32µm
_0560_,9.27µm
_0338_,9.26µm
_0495_,9.26µm
dco_inst.accumulator\[27\],9.24µm
_0093_,9.225µm
_0528_,9.22µm
_0765_,9.2µm
_0610_,9.16µm
_0194_,9.12µm
_0574_,9.12µm
_0577_,9.12µm
_0168_,9.04µm
_0599_,9.02µm
_0707_,9µm
debug_dco_word[12],8.96µm
debug_dco_word[13],8.96µm
debug_dco_word[3],8.96µm
debug_dco_word[7],8.96µm
debug_dco_word[8],8.96µm
_0363_,8.94µm
_0950_,8.92µm
_0274_,8.9µm
net326,8.9µm
_0820_,8.86µm
_0975_,8.86µm
_0370_,8.82µm
_0886_,8.82µm
_1030_,8.82µm
_0313_,8.8µm
_0309_,8.74µm
_0748_,8.74µm
initial_freq[11],8.72µm
initial_freq[4],8.72µm
initial_freq[5],8.72µm
initial_freq[6],8.72µm
initial_freq[8],8.72µm
_0676_,8.7µm
