Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_55_57,VDD,Metal1,38.9200,231.2800,4.999989
FILLER_55_53,VDD,Metal1,37.9000,231.7125,4.999989
FILLER_55_33,VDD,Metal1,25.4800,231.2800,4.999989
FILLER_55_31,VDD,Metal1,24.6400,231.2800,4.999989
FILLER_55_2,VDD,Metal1,9.3400,231.7125,4.999990
FILLER_54_457,VDD,Metal1,262.9200,231.2800,4.999974
FILLER_54_431,VDD,Metal1,248.6400,231.2800,4.999977
FILLER_54_415,VDD,Metal1,244.2080,230.5880,4.999977
FILLER_54_407,VDD,Metal1,235.2000,231.2800,4.999979
FILLER_54_403,VDD,Metal1,233.9000,230.8475,4.999979
FILLER_54_387,VDD,Metal1,228.5280,230.5880,4.999979
FILLER_54_369,VDD,Metal1,218.4480,230.5880,4.999979
FILLER_54_359,VDD,Metal1,208.3200,231.2800,4.999979
FILLER_54_355,VDD,Metal1,207.0200,230.8475,4.999979
FILLER_54_325,VDD,Metal1,189.2800,231.2800,4.999981
FILLER_54_303,VDD,Metal1,176.9600,231.2800,4.999981
FILLER_54_299,VDD,Metal1,175.6600,230.8475,4.999981
FILLER_54_272,VDD,Metal1,159.6000,231.2800,4.999982
FILLER_54_255,VDD,Metal1,151.0200,230.8475,4.999982
FILLER_54_247,VDD,Metal1,147.7865,230.7030,4.999982
FILLER_54_243,VDD,Metal1,143.3600,231.2800,4.999982
FILLER_54_225,VDD,Metal1,133.2800,231.2800,4.999983
FILLER_54_209,VDD,Metal1,128.8480,230.5880,4.999984
FILLER_54_177,VDD,Metal1,115.4755,230.5110,4.999985
FILLER_54_171,VDD,Metal1,103.9800,230.8475,4.999985
FILLER_54_163,VDD,Metal1,100.7465,230.7030,4.999986
FILLER_54_147,VDD,Metal1,94.1280,230.5880,4.999986
FILLER_54_111,VDD,Metal1,69.1600,231.2800,4.999988
FILLER_54_107,VDD,Metal1,68.1400,230.8475,4.999988
FILLER_54_79,VDD,Metal1,51.5200,231.2800,4.999989
FILLER_54_75,VDD,Metal1,50.2200,230.8475,4.999989
FILLER_54_41,VDD,Metal1,29.9600,231.2800,4.999989
FILLER_54_37,VDD,Metal1,28.9400,230.8475,4.999989
FILLER_54_34,VDD,Metal1,26.0400,231.2800,4.999989
FILLER_54_32,VDD,Metal1,25.2000,231.2800,4.999989
FILLER_54_10,VDD,Metal1,12.6000,231.2800,4.999990
FILLER_54_8,VDD,Metal1,11.7600,231.2800,4.999990
